question,answer,p_answer,type,length,difficulty,latency,word,source,target,p_answer_clean,answer_clean,exact,cfm,Model,raw_response,annotated_question,edit_type
Add ':' after 'i' in 'exorcism'.,exorci:sm,exorci:sm,add,8,2,,exorcism,i,:,exorci:sm,exorci:sm,True,1.0,Final,"{
  ""p_answer"": ""e x o r c i : s m""
}",Add ':' after 'i' in e x o r c i s m.,
Add 'u' after 'o' in 'haygrower'.,haygrouwer,hauygruweure,add,9,2,,haygrower,o,u,hauygruweure,haygrouwer,False,0.6666666666666667,Final,"{
  ""p_answer"": ""h au y g ru w eu re""
}",Add 'u' after 'o' in h a y g r o w e r.,
Add '>' after 'o' in 'olfacty'.,o>lfacty,o>lfacty,add,7,2,,olfacty,o,>,o>lfacty,o>lfacty,True,1.0,Final,"{
  ""p_answer"": ""o> l f a c t y""
}",Add '>' after 'o' in o l f a c t y.,
Add ';' after 'e' in 'roadweed'.,roadwe;e;d,ro;adwe;ed,add,8,2,,roadweed,e,;,ro;adwe;ed,roadwe;e;d,False,0.8,Final,"{
  ""p_answer"": ""r o ; a d w e ; e d""
}",Add ';' after 'e' in r o a d w e e d.,
Add ')' after 'o' in 'koitapu'.,ko)itapu,ko(i)tapu,add,7,2,,koitapu,o,),ko(i)tapu,ko)itapu,False,0.7777777777777778,Final,"{
  ""p_answer"": ""k o (i) t a p u""
}",Add ')' after 'o' in k o i t a p u.,
Add '<' after 'n' in 'rommany'.,romman<y,r<o><m><m><a><n><y>,add,7,2,,rommany,n,<,r<o><m><m><a><n><y>,romman<y,False,0.42105263157894735,Final,"{
  ""p_answer"": ""r<o><m><m><a><n><y>""
}",Add '<' after 'n' in r o m m a n y.,
Add '8' after 's' in 'uppoise'.,uppois8e,uppoise8,add,7,2,,uppoise,s,8,uppoise8,uppois8e,False,0.75,Final,"{
  ""p_answer"": ""u p p o i s e8""
}",Add '8' after 's' in u p p o i s e.,
Add '~' after 'r' in 'aero'.,aer~o,~arer~o,add,4,2,,aero,r,~,~arer~o,aer~o,False,0.7142857142857143,Final,"{
  ""p_answer"": ""~arer~o""
}",Add '~' after 'r' in a e r o.,
Add '\' after 'o' in 'milvago'.,milvago\,milva\\go,add,7,2,,milvago,o,\,milva\\go,milvago\,False,0.6666666666666667,Final,"{
  ""p_answer"": ""m i l v a\\g o""
}",Add '\' after 'o' in m i l v a g o.,
Add 'q' after 'u' in 'inhume'.,inhuqme,inhuqme,add,6,2,,inhume,u,q,inhuqme,inhuqme,True,1.0,Final,"{
  ""p_answer"": ""i n h u q m e""
}",Add 'q' after 'u' in i n h u m e.,
Add '&' after 'u' in 'unslashed'.,u&nslashed,u&nslashed,add,9,2,,unslashed,u,&,u&nslashed,u&nslashed,True,1.0,Final,"{
  ""p_answer"": ""u & n s l a s h e d""
}",Add '&' after 'u' in u n s l a s h e d.,
Add 'o' after 'u' in 'tungus'.,tuonguos,tungous,add,6,2,,tungus,u,o,tungous,tuonguos,False,0.625,Final,"{
  ""p_answer"": ""t u n g o u s""
}",Add 'o' after 'u' in t u n g u s.,
Add '*' after 'i' in 'italicism'.,i*tali*ci*sm,i*t*a*l*i*c*i*s*m,add,9,2,,italicism,i,*,i*t*a*l*i*c*i*s*m,i*tali*ci*sm,False,0.7058823529411764,Final,"{
  ""p_answer"": ""i*t*a*l*i*c*i*s*m""
}",Add '*' after 'i' in i t a l i c i s m.,
Add '`' after 'y' in 'dally'.,dally`,dally`,add,5,2,,dally,y,`,dally`,dally`,True,1.0,Final,"{
  ""p_answer"": ""d a l l y`""
}",Add '`' after 'y' in d a l l y.,
Add '?' after 'o' in 'epanthous'.,epantho?us,epanthous?,add,9,2,,epanthous,o,?,epanthous?,epantho?us,False,0.8,Final,"{
  ""p_answer"": ""e p a n t h o u s?""
}",Add '?' after 'o' in e p a n t h o u s.,
Add ';' after 'c' in 'muchly'.,muc;hly,m;u;c;h;l;y;,add,6,2,,muchly,c,;,m;u;c;h;l;y;,muc;hly,False,0.5833333333333333,Final,"{
  ""p_answer"": ""m;u;c;h;l;y;""
}",Add ';' after 'c' in m u c h l y.,
Add 'v' after 'o' in 'oneness'.,ovneness,onenvess,add,7,2,,oneness,o,v,onenvess,ovneness,False,0.75,Final,"{
  ""p_answer"": ""onenvess""
}",Add 'v' after 'o' in o n e n e s s.,
Add '<' after 'e' in 'colubrine'.,colubrine<,c<o><l<u><e><b<r<i<n<i<n>e,add,9,2,,colubrine,e,<,c<o><l<u><e><b<r<i<n<i<n>e,colubrine<,False,0.34615384615384615,Final,"{
  ""p_answer"": ""c<o><l<u><e><b<r<i<n<i<n>e""
}",Add '<' after 'e' in c o l u b r i n e.,
Add '>' after 'o' in 'oligist'.,o>ligist,o>ligist,add,7,2,,oligist,o,>,o>ligist,o>ligist,True,1.0,Final,"{
  ""p_answer"": ""o > l i g i s t""
}",Add '>' after 'o' in o l i g i s t.,
Add 'o' after 'e' in 'hymettian'.,hymeottian,hymettiano,add,9,2,,hymettian,e,o,hymettiano,hymeottian,False,0.8,Final,"{
  ""p_answer"": ""h y m e t t i a n o""
}",Add 'o' after 'e' in h y m e t t i a n.,
Add 'W' after 's' in 'saho'.,sWaho,sawho,add,4,2,,saho,s,W,sawho,sWaho,False,0.6,Final,"{
  ""p_answer"": ""sawho""
}",Add 'W' after 's' in s a h o.,
Add 'a' after 't' in 'reposit'.,reposita,reposita,add,7,2,,reposit,t,a,reposita,reposita,True,1.0,Final,"{
  ""p_answer"": ""r e p o s i t a""
}",Add 'a' after 't' in r e p o s i t.,
Add ';' after 'i' in 'fervidity'.,fervi;di;ty,f;e;rv;i;di;t;y;,add,9,2,,fervidity,i,;,f;e;rv;i;di;t;y;,fervi;di;ty,False,0.6875,Final,"{
  ""p_answer"": ""f;e;r v;i;d i;t;y;""
}",Add ';' after 'i' in f e r v i d i t y.,
Add 'c' after 'w' in 'watt'.,wcatt,wacattc,add,4,2,,watt,w,c,wacattc,wcatt,False,0.7142857142857143,Final,"{
  ""p_answer"": ""wacattc""
}",Add 'c' after 'w' in w a t t.,
Add '0' after 'u' in 'burnbeat'.,bu0rnbeat,burn0beat,add,8,2,,burnbeat,u,0,burn0beat,bu0rnbeat,False,0.7777777777777778,Final,"{
  ""p_answer"": ""b u r n0 b e a t""
}",Add '0' after 'u' in b u r n b e a t.,
Add 'L' after 'e' in 'cecity'.,ceLcity,cecLity,add,6,2,,cecity,e,L,cecLity,ceLcity,False,0.7142857142857143,Final,"{
  ""p_answer"": ""c e c L i t y""
}",Add 'L' after 'e' in c e c i t y.,
Add 'F' after 'b' in 'bug'.,bFug,buFg,add,3,2,,bug,b,F,buFg,bFug,False,0.5,Final,"{
  ""p_answer"": ""b u F g""
}",Add 'F' after 'b' in b u g.,
Add '&' after 'o' in 'bedboard'.,bedbo&ard,&ed&boar&d,add,8,2,,bedboard,o,&,&ed&boar&d,bedbo&ard,False,0.6,Final,"{
  ""p_answer"": ""&e d &b o a r&d""
}",Add '&' after 'o' in b e d b o a r d.,
Add 'w' after 'e' in 'oversee'.,ovewrsewew,overwseee,add,7,2,,oversee,e,w,overwseee,ovewrsewew,False,0.6,Final,"{
  ""p_answer"": ""overwseee""
}",Add 'w' after 'e' in o v e r s e e.,
Add '7' after 'o' in 'bowable'.,bo7wable,bowable7,add,7,2,,bowable,o,7,bowable7,bo7wable,False,0.75,Final,"{
  ""p_answer"": ""b o w a b l e7""
}",Add '7' after 'o' in b o w a b l e.,
Add 'e' after 'm' in 'manatee'.,meanatee,manatee,add,7,2,,manatee,m,e,manatee,meanatee,False,0.875,Final,"{
  ""p_answer"": ""m a n a t e e""
}",Add 'e' after 'm' in m a n a t e e.,
Add '(' after 'm' in 'monny'.,m(onny,(mo(nny)),add,5,2,,monny,m,(,(mo(nny)),m(onny,False,0.4444444444444444,Final,"{
  ""p_answer"": ""(m o (n n y))""
}",Add '(' after 'm' in m o n n y.,
Add 'j' after 'a' in 'utopia'.,utopiaj,utopiaj,add,6,2,,utopia,a,j,utopiaj,utopiaj,True,1.0,Final,"{
  ""p_answer"": ""utopiaj""
}",Add 'j' after 'a' in u t o p i a.,
Add '^' after 'l' in 'silicic'.,sil^icic,^s^i^l^i^c^i^c,add,7,2,,silicic,l,^,^s^i^l^i^c^i^c,sil^icic,False,0.5714285714285714,Final,"{
  ""p_answer"": ""^s^i^l^i^c^i^c""
}",Add '^' after 'l' in s i l i c i c.,
Add '.' after 'h' in 'hevea'.,h.evea,h.e.v.e.a.,add,5,2,,hevea,h,.,h.e.v.e.a.,h.evea,False,0.6,Final,"{
  ""p_answer"": ""h.e.v.e.a.""
}",Add '.' after 'h' in h e v e a.,
Add ']' after 'p' in 'peltry'.,p]eltry,p]elt[r[y,add,6,2,,peltry,p,],p]elt[r[y,p]eltry,False,0.7777777777777778,Final,"{
  ""p_answer"": ""p]elt[r[y""
}",Add ']' after 'p' in p e l t r y.,
Add 'q' after 'e' in 'gigster'.,gigsteqr,gigsterq,add,7,2,,gigster,e,q,gigsterq,gigsteqr,False,0.75,Final,"{
  ""p_answer"": ""g i g s t e r q""
}",Add 'q' after 'e' in g i g s t e r.,
Add 'q' after 'i' in 'geira'.,geiqra,geiqra,add,5,2,,geira,i,q,geiqra,geiqra,True,1.0,Final,"{
  ""p_answer"": ""g e i q r a""
}",Add 'q' after 'i' in g e i r a.,
Add 'R' after 'a' in 'sectary'.,sectaRry,sectaRy,add,7,2,,sectary,a,R,sectaRy,sectaRry,False,0.875,Final,"{
  ""p_answer"": ""s e c t a R y""
}",Add 'R' after 'a' in s e c t a r y.,
Add '?' after 'e' in 'punitive'.,punitive?,p?u?n?i?t?i?v?,add,8,2,,punitive,e,?,p?u?n?i?t?i?v?,punitive?,False,0.5,Final,"{
  ""p_answer"": ""p?u?n?i?t?i?v?""
}",Add '?' after 'e' in p u n i t i v e.,
Add '0' after 'd' in 'altared'.,altared0,latr0ed,add,7,2,,altared,d,0,latr0ed,altared0,False,0.375,Final,"{
  ""p_answer"": ""latr0ed""
}",Add '0' after 'd' in a l t a r e d.,
Add 'V' after 'd' in 'diss'.,dViss,dViss,add,4,2,,diss,d,V,dViss,dViss,True,1.0,Final,"{
  ""p_answer"": ""dViss""
}",Add 'V' after 'd' in d i s s.,
Add '7' after 'a' in 'leonora'.,leonora7,leonora7,add,7,2,,leonora,a,7,leonora7,leonora7,True,1.0,Final,"{
  ""p_answer"": ""l e o n o r a7""
}",Add '7' after 'a' in l e o n o r a.,
Add 'U' after 'u' in 'traducing'.,traduUcing,traduUcing,add,9,2,,traducing,u,U,traduUcing,traduUcing,True,1.0,Final,"{
  ""p_answer"": ""t r a d u U c i n g""
}",Add 'U' after 'u' in t r a d u c i n g.,
Add '[' after 'a' in 'anthemis'.,a[nthemis,[a]nthemis.,add,8,2,,anthemis,a,[,[a]nthemis.,a[nthemis,False,0.7272727272727273,Final,"{
  ""p_answer"": ""[a] n t h e m i s.""
}",Add '[' after 'a' in a n t h e m i s.,
Add '2' after 'i' in 'cecily'.,ceci2ly,cec2ily,add,6,2,,cecily,i,2,cec2ily,ceci2ly,False,0.7142857142857143,Final,"{
  ""p_answer"": ""c e c 2 i l y""
}",Add '2' after 'i' in c e c i l y.,
Add 'L' after 'a' in 'akania'.,aLkaLniaL,kaLniaL,add,6,2,,akania,a,L,kaLniaL,aLkaLniaL,False,0.7777777777777778,Final,"{
  ""p_answer"": ""k a L n i a L""
}",Add 'L' after 'a' in a k a n i a.,
Add 'r' after 'i' in 'howling'.,howlirng,howrling,add,7,2,,howling,i,r,howrling,howlirng,False,0.75,Final,"{
  ""p_answer"": ""howrling""
}",Add 'r' after 'i' in h o w l i n g.,
Add 'C' after 'i' in 'spirula'.,spiCrula,spiCrula,add,7,2,,spirula,i,C,spiCrula,spiCrula,True,1.0,Final,"{
  ""p_answer"": ""s p i C r u l a""
}",Add 'C' after 'i' in s p i r u l a.,
Add '*' after 'p' in 'pard'.,p*ard,p*a*r*d,add,4,2,,pard,p,*,p*a*r*d,p*ard,False,0.7142857142857143,Final,"{
  ""p_answer"": ""p*a*r*d""
}",Add '*' after 'p' in p a r d.,
Add '5' after 'u' in 'isonomous'.,isonomou5s,isono5mous,add,9,2,,isonomous,u,5,isono5mous,isonomou5s,False,0.8,Final,"{
  ""p_answer"": ""isono5mous""
}",Add '5' after 'u' in i s o n o m o u s.,
Add 's' after 'a' in 'enraged'.,enrasged,enrageds,add,7,2,,enraged,a,s,enrageds,enrasged,False,0.75,Final,"{
  ""p_answer"": ""enrageds""
}",Add 's' after 'a' in e n r a g e d.,
Add 'k' after 'e' in 'valerin'.,valekrin,valekrin,add,7,2,,valerin,e,k,valekrin,valekrin,True,1.0,Final,"{
  ""p_answer"": ""valekrin""
}",Add 'k' after 'e' in v a l e r i n.,
Add 'V' after 'a' in 'vedalia'.,vedaVliaV,veVdalia,add,7,2,,vedalia,a,V,veVdalia,vedaVliaV,False,0.6666666666666667,Final,"{
  ""p_answer"": ""v e V d a l i a""
}",Add 'V' after 'a' in v e d a l i a.,
Add 'C' after 'i' in 'rifling'.,riCfliCng,riCfling,add,7,2,,rifling,i,C,riCfling,riCfliCng,False,0.8888888888888888,Final,"{
  ""p_answer"": ""r i C f l i n g""
}",Add 'C' after 'i' in r i f l i n g.,
Add 'h' after 'e' in 'palet'.,paleht,pehlet,add,5,2,,palet,e,h,pehlet,paleht,False,0.5,Final,"{
  ""p_answer"": ""pehlet""
}",Add 'h' after 'e' in p a l e t.,
Add '#' after 'e' in 'drossless'.,drossle#ss,d#r#o#s#s#l#e#s#s,add,9,2,,drossless,e,#,d#r#o#s#s#l#e#s#s,drossle#ss,False,0.5882352941176471,Final,"{
  ""p_answer"": ""d #r #o #s #s #l #e #s #s""
}",Add '#' after 'e' in d r o s s l e s s.,
Add 'l' after 'e' in 'begun'.,belgun,belgunl,add,5,2,,begun,e,l,belgunl,belgun,False,0.8571428571428572,Final,"{
  ""p_answer"": ""belgunl""
}",Add 'l' after 'e' in b e g u n.,
Add 'O' after 's' in 'baltis'.,baltisO,baltisO,add,6,2,,baltis,s,O,baltisO,baltisO,True,1.0,Final,"{
  ""p_answer"": ""b a l t i sO""
}",Add 'O' after 's' in b a l t i s.,
Add '{' after 'p' in 'dogship'.,dogship{,p{dogship},add,7,2,,dogship,p,{,p{dogship},dogship{,False,0.7,Final,"{
  ""p_answer"": ""p{d o g s h i p}""
}",Add '{' after 'p' in d o g s h i p.,
Add '+' after 'o' in 'conn'.,co+nn,conn+,add,4,2,,conn,o,+,conn+,co+nn,False,0.6,Final,"{
  ""p_answer"": ""c o n n+""
}",Add '+' after 'o' in c o n n.,
Add 'U' after 'u' in 'dumbness'.,duUmbness,dUumbness,add,8,2,,dumbness,u,U,dUumbness,duUmbness,False,0.7777777777777778,Final,"{
  ""p_answer"": ""d U u m b n e s s""
}",Add 'U' after 'u' in d u m b n e s s.,
Add '-' after 'c' in 'tunicle'.,tunic-le,t-u-n-i-c-l-e-,add,7,2,,tunicle,c,-,t-u-n-i-c-l-e-,tunic-le,False,0.5714285714285714,Final,"{
  ""p_answer"": ""t-u-n-i-c-l-e-""
}",Add '-' after 'c' in t u n i c l e.,
Add '0' after 't' in 'aphetic'.,aphet0ic,aphetic0,add,7,2,,aphetic,t,0,aphetic0,aphet0ic,False,0.75,Final,"{
  ""p_answer"": ""a p h e t i c0""
}",Add '0' after 't' in a p h e t i c.,
Add '|' after 'a' in 'vexillate'.,vexilla|te,v|exill|ate,add,9,2,,vexillate,a,|,v|exill|ate,vexilla|te,False,0.7272727272727273,Final,"{
  ""p_answer"": ""v | e x i l l | a t e""
}",Add '|' after 'a' in v e x i l l a t e.,
Add '>' after 'r' in 'syrt'.,syr>t,s>y>r>t>,add,4,2,,syrt,r,>,s>y>r>t>,syr>t,False,0.625,Final,"{
  ""p_answer"": ""s>y>r>t>""
}",Add '>' after 'r' in s y r t.,
Add '&' after 'p' in 'platten'.,p&latten,p&latten,add,7,2,,platten,p,&,p&latten,p&latten,True,1.0,Final,"{
  ""p_answer"": ""p& l a t t e n""
}",Add '&' after 'p' in p l a t t e n.,
Add '4' after 'a' in 'glaucodot'.,gla4ucodot,gla4ucodot,add,9,2,,glaucodot,a,4,gla4ucodot,gla4ucodot,True,1.0,Final,"{
  ""p_answer"": ""g l a4u c o d o t""
}",Add '4' after 'a' in g l a u c o d o t.,
Add ']' after 'b' in 'zabaism'.,zab]aism,zab]aism,add,7,2,,zabaism,b,],zab]aism,zab]aism,True,1.0,Final,"{
  ""p_answer"": ""z a b ] a i s m""
}",Add ']' after 'b' in z a b a i s m.,
Add '|' after 'i' in 'pewing'.,pewi|ng,pe|win|g,add,6,2,,pewing,i,|,pe|win|g,pewi|ng,False,0.625,Final,"{
  ""p_answer"": ""pe|win|g""
}",Add '|' after 'i' in p e w i n g.,
Add 'y' after 'h' in 'lehr'.,lehyr,leyhr,add,4,2,,lehr,h,y,leyhr,lehyr,False,0.6,Final,"{
  ""p_answer"": ""leyhr""
}",Add 'y' after 'h' in l e h r.,
Add ':' after 'e' in 'linenman'.,line:nman,l:i:n:e:n:m:a:n,add,8,2,,linenman,e,:,l:i:n:e:n:m:a:n,line:nman,False,0.6,Final,"{
  ""p_answer"": ""l:i:n:e:n:m:a:n""
}",Add ':' after 'e' in l i n e n m a n.,
Add ':' after 'r' in 'vacatur'.,vacatur:,v:a:c:a:t:u:r:,add,7,2,,vacatur,r,:,v:a:c:a:t:u:r:,vacatur:,False,0.5714285714285714,Final,"{
  ""p_answer"": ""v:a:c:a:t:u:r:""
}",Add ':' after 'r' in v a c a t u r.,
Add '|' after 'e' in 'examinate'.,e|xaminate|,e|x|a|m|i|n|a|t|e,add,9,2,,examinate,e,|,e|x|a|m|i|n|a|t|e,e|xaminate|,False,0.5294117647058824,Final,"{
  ""p_answer"": ""e|x|a|m|i|n|a|t|e""
}",Add '|' after 'e' in e x a m i n a t e.,
Add 'J' after 'y' in 'nosy'.,nosyJ,nosyJ,add,4,2,,nosy,y,J,nosyJ,nosyJ,True,1.0,Final,"{
  ""p_answer"": ""no syJ""
}",Add 'J' after 'y' in n o s y.,
Add '@' after 't' in 'martian'.,mart@ian,m@art@i@n,add,7,2,,martian,t,@,m@art@i@n,mart@ian,False,0.7777777777777778,Final,"{
  ""p_answer"": ""m @ a r t @ i @ n""
}",Add '@' after 't' in m a r t i a n.,
Add 'J' after 'a' in 'gervas'.,gervaJs,gervaJs,add,6,2,,gervas,a,J,gervaJs,gervaJs,True,1.0,Final,"{
  ""p_answer"": ""g e r v a J s""
}",Add 'J' after 'a' in g e r v a s.,
Add 'H' after 'a' in 'irma'.,irmaH,irmaH,add,4,2,,irma,a,H,irmaH,irmaH,True,1.0,Final,"{
  ""p_answer"": ""i r m aH""
}",Add 'H' after 'a' in i r m a.,
Add 'h' after 'u' in 'ulonata'.,uhlonata,uhlonata,add,7,2,,ulonata,u,h,uhlonata,uhlonata,True,1.0,Final,"{
  ""p_answer"": ""u h l o n a t a""
}",Add 'h' after 'u' in u l o n a t a.,
Add 'O' after 'y' in 'boyd'.,boyOd,bOyOd,add,4,2,,boyd,y,O,bOyOd,boyOd,False,0.8,Final,"{
  ""p_answer"": ""bOyOd""
}",Add 'O' after 'y' in b o y d.,
Add 'O' after 'u' in 'gaucho'.,gauOcho,gauOcho,add,6,2,,gaucho,u,O,gauOcho,gauOcho,True,1.0,Final,"{
  ""p_answer"": ""g a u O c h o""
}",Add 'O' after 'u' in g a u c h o.,
Add ';' after 'f' in 'unleft'.,unlef;t,unlef;t,add,6,2,,unleft,f,;,unlef;t,unlef;t,True,1.0,Final,"{
  ""p_answer"": ""u n l e f;t""
}",Add ';' after 'f' in u n l e f t.,
Add '`' after 'e' in 'phosphine'.,phosphine`,phosphine',add,9,2,,phosphine,e,`,phosphine',phosphine`,False,0.9,Final,"{
  ""p_answer"": ""p h o s p h i n e'""
}",Add '`' after 'e' in p h o s p h i n e.,
Add 'E' after 'e' in 'falterer'.,falteEreEr,faltErerE,add,8,2,,falterer,e,E,faltErerE,falteEreEr,False,0.7,Final,"{
  ""p_answer"": ""f a l t E r e r E""
}",Add 'E' after 'e' in f a l t e r e r.,
Add 'd' after 'e' in 'vexedly'.,vedxeddly,vedlyd,add,7,2,,vexedly,e,d,vedlyd,vedxeddly,False,0.4444444444444444,Final,"{
  ""p_answer"": ""v edl yd""
}",Add 'd' after 'e' in v e x e d l y.,
Add '(' after 'k' in 'dockize'.,dock(ize,(d(o(kize)),add,7,2,,dockize,k,(,(d(o(kize)),dock(ize,False,0.4545454545454546,Final,"{
  ""p_answer"": ""(d (o (k i z e))""
}",Add '(' after 'k' in d o c k i z e.,
Add '+' after 'e' in 'hexapoda'.,he+xapoda,h+ex+ap+od+a,add,8,2,,hexapoda,e,+,h+ex+ap+od+a,he+xapoda,False,0.5833333333333333,Final,"{
  ""p_answer"": ""h +e x +a p +o d +a""
}",Add '+' after 'e' in h e x a p o d a.,
Add '.' after 'e' in 'hunger'.,hunge.r,h.u.n.g.e.r.,add,6,2,,hunger,e,.,h.u.n.g.e.r.,hunge.r,False,0.5833333333333333,Final,"{
  ""p_answer"": ""h.u.n.g.e.r.""
}",Add '.' after 'e' in h u n g e r.,
Add 'J' after 'a' in 'antal'.,aJntaJl,antalJ,add,5,2,,antal,a,J,antalJ,aJntaJl,False,0.5714285714285714,Final,"{
  ""p_answer"": ""a n t a l J""
}",Add 'J' after 'a' in a n t a l.,
Add '6' after 's' in 'semanticist'.,s6emanticis6t,s6e6m6a6n6t6i6c6i6s6t,add,11,3,,semanticist,s,6,s6e6m6a6n6t6i6c6i6s6t,s6emanticis6t,False,0.6190476190476191,Final,"{
  ""p_answer"": ""s6e6m6a6n6t6i6c6i6s6t""
}",Add '6' after 's' in s e m a n t i c i s t.,
"Add ',' after 'y' in 'yanktonai'.","y,anktonai","y,anktonai,",add,9,3,,yanktonai,y,",","y,anktonai,","y,anktonai",False,0.9090909090909091,Final,"{
  ""p_answer"": ""y, a n k t o n a i,""
}","Add ',' after 'y' in y a n k t o n a i.",
Add 'I' after 'd' in 'dampproof'.,dIampproof,dIampproof,add,9,3,,dampproof,d,I,dIampproof,dIampproof,True,1.0,Final,"{
  ""p_answer"": ""d I a m p p r o o f""
}",Add 'I' after 'd' in d a m p p r o o f.,
Add 'W' after 't' in 'azote'.,azotWe,zoWte,add,5,3,,azote,t,W,zoWte,azotWe,False,0.5,Final,"{
  ""p_answer"": ""z o W t e""
}",Add 'W' after 't' in a z o t e.,
"Add '""' after 'c' in 'revictory'.","revic""tory",\,add,9,3,,revictory,c,"""",\,"revic""tory",False,0.0,Final,"{
  ""p_answer"": ""\""c\""r \""e\"" v \""i\"" c \""t\"" o \""r\""y""
}","Add '""' after 'c' in r e v i c t o r y.",
Add 'h' after 'i' in 'reservoir'.,reservoihr,reservoihr,add,9,3,,reservoir,i,h,reservoihr,reservoihr,True,1.0,Final,"{
  ""p_answer"": ""r e s e r v o i h r""
}",Add 'h' after 'i' in r e s e r v o i r.,
Add 'N' after 's' in 'disbrain'.,disNbrain,disNbraiN,add,8,3,,disbrain,s,N,disNbraiN,disNbrain,False,0.8888888888888888,Final,"{
  ""p_answer"": ""d i s N b r a i N""
}",Add 'N' after 's' in d i s b r a i n.,
Add 'p' after 't' in 'troller'.,tproller,trolllerp,add,7,3,,troller,t,p,trolllerp,tproller,False,0.6666666666666667,Final,"{
  ""p_answer"": ""trolllerp""
}",Add 'p' after 't' in t r o l l e r.,
Add 'y' after 'c' in 'dodecarch'.,dodecyarcyh,doydecarch,add,9,3,,dodecarch,c,y,doydecarch,dodecyarcyh,False,0.7272727272727273,Final,"{
  ""p_answer"": ""d o y d e c a r c h""
}",Add 'y' after 'c' in d o d e c a r c h.,
Add 'g' after 'n' in 'nonatmospheric'.,ngongatmospheric,nognoatmospheric,add,14,3,,nonatmospheric,n,g,nognoatmospheric,ngongatmospheric,False,0.8125,Final,"{
  ""p_answer"": ""nognoatmospheric""
}",Add 'g' after 'n' in n o n a t m o s p h e r i c.,
Add 'f' after 'o' in 'hypnotizer'.,hypnoftizer,hyfpnotizer,add,10,3,,hypnotizer,o,f,hyfpnotizer,hypnoftizer,False,0.8181818181818181,Final,"{
  ""p_answer"": ""h y f p n o t i z e r""
}",Add 'f' after 'o' in h y p n o t i z e r.,
Add 'k' after 'l' in 'plicatile'.,plkicatilke,plikacatil,add,9,3,,plicatile,l,k,plikacatil,plkicatilke,False,0.6363636363636364,Final,"{
  ""p_answer"": ""plikacatil""
}",Add 'k' after 'l' in p l i c a t i l e.,
Add 'i' after 'n' in 'underburn'.,uniderburni,uninderburni,add,9,3,,underburn,n,i,uninderburni,uniderburni,False,0.9166666666666666,Final,"{
  ""p_answer"": ""u ni nde r bu rn i""
}",Add 'i' after 'n' in u n d e r b u r n.,
Add 'a' after 'n' in 'platitudinous'.,platitudinaous,platitaudinaous,add,13,3,,platitudinous,n,a,platitaudinaous,platitudinaous,False,0.9333333333333333,Final,"{
  ""p_answer"": ""pl a t i t a u d i n a o u s""
}",Add 'a' after 'n' in p l a t i t u d i n o u s.,
Add '[' after 'x' in 'multiaxial'.,multiax[ial,[x]m[u][l]t[i][a]x[i][a]l,add,10,3,,multiaxial,x,[,[x]m[u][l]t[i][a]x[i][a]l,multiax[ial,False,0.43999999999999995,Final,"{
  ""p_answer"": ""[x]m[u][l]t[i][a]x[i][a]l""
}",Add '[' after 'x' in m u l t i a x i a l.,
Add '6' after 'i' in 'unmixableness'.,unmi6xableness,unmi6xableness,add,13,3,,unmixableness,i,6,unmi6xableness,unmi6xableness,True,1.0,Final,"{
  ""p_answer"": ""u n m i6x a b l e n e s s""
}",Add '6' after 'i' in u n m i x a b l e n e s s.,
"Add '""' after 'g' in 'gaelicize'.","g""aelicize",\,add,9,3,,gaelicize,g,"""",\,"g""aelicize",False,0.0,Final,"{
  ""p_answer"": ""\""g\"" a e l i c i z e""
}","Add '""' after 'g' in g a e l i c i z e.",
Add 'a' after 'd' in 'unopposedly'.,unopposedaly,unaaposedly,add,11,3,,unopposedly,d,a,unaaposedly,unopposedaly,False,0.75,Final,"{
  ""p_answer"": ""u na a p o s e d l y""
}",Add 'a' after 'd' in u n o p p o s e d l y.,
Add 'A' after 't' in 'verbification'.,verbificatAion,verbificAtion,add,13,3,,verbification,t,A,verbificAtion,verbificatAion,False,0.8571428571428572,Final,"{
  ""p_answer"": ""v e r b i f i c A t i o n""
}",Add 'A' after 't' in v e r b i f i c a t i o n.,
Add 'g' after 'r' in 'aluminiferous'.,aluminifergous,lugminiferous,add,13,3,,aluminiferous,r,g,lugminiferous,aluminifergous,False,0.7857142857142857,Final,"{
  ""p_answer"": ""l u g m i n i f e r o u s""
}",Add 'g' after 'r' in a l u m i n i f e r o u s.,
Add '*' after 'c' in 'hormonic'.,hormonic*,h*o*r*m*o*n*i*c,add,8,3,,hormonic,c,*,h*o*r*m*o*n*i*c,hormonic*,False,0.4666666666666667,Final,"{
  ""p_answer"": ""h* o*r*m*o*n*i*c""
}",Add '*' after 'c' in h o r m o n i c.,
Add '^' after 'h' in 'botanophilist'.,botanoph^ilist,bota^nophilist,add,13,3,,botanophilist,h,^,bota^nophilist,botanoph^ilist,False,0.8571428571428572,Final,"{
  ""p_answer"": ""b o t a^n o p h i l i s t""
}",Add '^' after 'h' in b o t a n o p h i l i s t.,
Add 'N' after 'l' in 'trilaterally'.,trilNateralNlNy,trilaNterally,add,12,3,,trilaterally,l,N,trilaNterally,trilNateralNlNy,False,0.7333333333333334,Final,"{
  ""p_answer"": ""t r i l a N t e r a l l y""
}",Add 'N' after 'l' in t r i l a t e r a l l y.,
